prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
5,1,4096,total,434.8968811035156,100.0,9470.481472977624,16885.8
5,4,512,attention,66.74944007396698,31.2,9725.734147027735,15988.2
5,4,512,ffn,109.2792329788208,51.08,9725.734147027735,15988.2
5,4,512,other,37.90540897846222,17.72,9725.734147027735,15988.2
5,4,512,total,213.93408203125,100.0,9725.734147027735,15988.2
5,4,2048,attention,267.1431670188904,32.7,10028.71989465108,18680.8
5,4,2048,ffn,417.4602270126343,51.1,10028.71989465108,18680.8
5,4,2048,other,132.37658643722534,16.2,10028.71989465108,18680.8
5,4,2048,total,816.97998046875,100.0,10028.71989465108,18680.8
5,4,4096,attention,587.513858795166,34.91,9734.112375274588,22270.9
5,4,4096,ffn,835.7324829101562,49.66,9734.112375274588,22270.9
5,4,4096,other,259.63830184936523,15.43,9734.112375274588,22270.9
