prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
5,1,512,ffn,27.0868479013443,33.14,9423.649871849673,15315.1
5,1,512,other,19.897345662117004,24.34,9423.649871849673,15315.1
5,1,512,total,81.7438735961914,100.0,9423.649871849673,15315.1
5,1,2048,attention,64.51916801929474,32.93,10677.828270215841,15988.2
5,1,2048,ffn,95.432701587677,48.7,10677.828270215841,15988.2
5,1,2048,other,36.00178945064545,18.37,10677.828270215841,15988.2
5,1,2048,total,195.9536590576172,100.0,10677.828270215841,15988.2
5,1,4096,attention,135.70252776145935,35.42,10768.60930146952,16885.8
5,1,4096,ffn,184.76543807983398,48.22,10768.60930146952,16885.8
5,1,4096,other,62.69338059425354,16.36,10768.60930146952,16885.8
5,1,4096,total,383.1613464355469,100.0,10768.60930146952,16885.8
5,4,512,attention,59.60806369781494,30.99,10946.428469482013,15988.2
5,4,512,ffn,95.91807866096497,49.86,10946.428469482013,15988.2
5,4,512,other,36.84864401817322,19.15,10946.428469482013,15988.2
5,4,512,total,192.37478637695312,100.0,10946.428469482013,15988.2
5,4,2048,attention,238.57356977462769,32.96,11357.973382356287,18680.8
5,4,2048,ffn,364.82355403900146,50.41,11357.973382356287,18680.8
5,4,2048,other,120.3824782371521,16.63,11357.973382356287,18680.8
5,4,2048,total,723.7796020507812,100.0,11357.973382356287,18680.8
5,4,4096,attention,520.4664306640625,35.1,11079.281434278615,22270.9
5,4,4096,ffn,728.0793533325195,49.1,11079.281434278615,22270.9
5,4,4096,other,234.31481170654297,15.8,11079.281434278615,22270.9
5,4,4096,total,1482.860595703125,100.0,11079.281434278615,22270.9
5,16,512,attention,219.28550338745117,31.08,11665.225480231791,18680.8
5,16,512,ffn,365.5618543624878,51.81,11665.225480231791,18680.8
5,16,512,other,120.72142887115479,17.11,11665.225480231791,18680.8
5,16,512,total,705.5687866210938,100.0,11665.225480231791,18680.8
5,16,2048,attention,941.1246089935303,33.08,11552.017536090769,29451.0
5,16,2048,ffn,1436.8358459472656,50.5,11552.017536090769,29451.0
5,16,2048,other,467.0412540435791,16.42,11552.017536090769,29451.0
5,16,2048,total,2845.001708984375,100.0,11552.017536090769,29451.0
5,16,4096,attention,2045.5813026428223,34.79,11161.374570412443,43811.2
5,16,4096,ffn,2907.1319122314453,49.44,11161.374570412443,43811.2
5,16,4096,other,927.8492851257324,15.78,11161.374570412443,43811.2
5,16,4096,total,5880.5625,100.0,11161.374570412443,43811.2
