prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
20,4,2048,total,660.7728881835938,100.0,12450.199102665141,17060.8
20,4,4096,attention,513.2001276016235,37.89,12086.64566041372,20650.9
20,4,4096,ffn,608.6031360626221,44.93,12086.64566041372,20650.9
20,4,4096,other,232.7111406326294,17.18,12086.64566041372,20650.9
20,4,4096,total,1354.514404296875,100.0,12086.64566041372,20650.9
20,16,512,attention,216.12850999832153,33.54,12779.164829071255,17060.8
20,16,512,ffn,308.24550342559814,47.84,12779.164829071255,17060.8
20,16,512,other,119.92066431045532,18.61,12779.164829071255,17060.8
20,16,512,total,644.294677734375,100.0,12779.164829071255,17060.8
20,16,2048,attention,942.2305316925049,36.32,12631.226044895913,27831.0
20,16,2048,ffn,1187.332103729248,45.77,12631.226044895913,27831.0
20,16,2048,other,464.55504035949707,17.91,12631.226044895913,27831.0
20,16,2048,total,2594.11767578125,100.0,12631.226044895913,27831.0
20,16,4096,attention,2030.114818572998,37.93,12204.059104944137,42191.2
20,16,4096,ffn,2396.7621002197266,44.78,12204.059104944137,42191.2
20,16,4096,other,924.8911476135254,17.28,12204.059104944137,42191.2
20,16,4096,total,5351.76806640625,100.0,12204.059104944137,42191.2
30,1,512,attention,34.79347229003906,45.4,10383.568648951998,12724.0
30,1,512,ffn,22.50854355096817,29.37,10383.568648951998,12724.0
30,1,512,other,19.335168302059174,25.23,10383.568648951998,12724.0
30,1,512,total,76.6371841430664,100.0,10383.568648951998,12724.0
30,1,2048,attention,63.89964807033539,38.45,12619.888668169257,13397.1
30,1,2048,ffn,67.52972793579102,40.63,12619.888668169257,13397.1
30,1,2048,other,34.76480734348297,20.92,12619.888668169257,13397.1
30,1,2048,total,166.19418334960938,100.0,12619.888668169257,13397.1
30,1,4096,attention,133.4097924232483,40.3,12482.601811840053,14294.6
30,1,4096,ffn,134.1132791042328,40.52,12482.601811840053,14294.6
30,1,4096,other,63.492095708847046,19.18,12482.601811840053,14294.6
30,1,4096,total,331.0151672363281,100.0,12482.601811840053,14294.6
30,4,512,attention,58.655744194984436,36.35,12928.498854697857,13397.1
30,4,512,ffn,67.90655994415283,42.08,12928.498854697857,13397.1
30,4,512,other,34.806790709495544,21.57,12928.498854697857,13397.1
30,4,512,total,161.3690948486328,100.0,12928.498854697857,13397.1
30,4,2048,attention,234.84108924865723,37.73,13204.653956849113,16089.7
30,4,2048,ffn,268.55526304244995,43.15,13204.653956849113,16089.7
30,4,2048,other,118.97547388076782,19.12,13204.653956849113,16089.7
30,4,2048,total,622.371826171875,100.0,13204.653956849113,16089.7
30,4,4096,attention,513.5093774795532,40.27,12862.966927757434,19679.7
30,4,4096,ffn,528.3747825622559,41.43,12862.966927757434,19679.7
30,4,4096,other,233.42382335662842,18.3,12862.966927757434,19679.7
30,4,4096,total,1275.3079833984375,100.0,12862.966927757434,19679.7
30,16,512,attention,215.8991346359253,35.68,13593.050675734527,16089.7
30,16,512,ffn,269.4297595024109,44.52,13593.050675734527,16089.7
