prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
30,4,512,total,177.7049560546875,100.0,11638.666277490549,13397.1
30,4,2048,attention,263.64211082458496,37.89,11814.13382325292,16089.7
30,4,2048,ffn,302.64729595184326,43.49,11814.13382325292,16089.7
30,4,2048,other,129.61073970794678,18.62,11814.13382325292,16089.7
30,4,2048,total,695.900146484375,100.0,11814.13382325292,16089.7
30,4,4096,attention,577.689600944519,40.42,11486.999153395029,19679.7
30,4,4096,ffn,596.3376655578613,41.72,11486.999153395029,19679.7
30,4,4096,other,255.20332431793213,17.86,11486.999153395029,19679.7
30,4,4096,total,1429.2305908203125,100.0,11486.999153395029,19679.7
30,16,512,attention,241.45407915115356,35.76,12153.105278713034,16089.7
30,16,512,ffn,303.35897731781006,44.93,12153.105278713034,16089.7
30,16,512,other,130.38182878494263,19.31,12153.105278713034,16089.7
30,16,512,total,675.1948852539062,100.0,12153.105278713034,16089.7
30,16,2048,attention,1069.2608013153076,39.02,11982.50606634682,26859.9
30,16,2048,ffn,1162.0771827697754,42.4,11982.50606634682,26859.9
30,16,2048,other,509.103178024292,18.58,11982.50606634682,26859.9
30,16,2048,total,2740.441162109375,100.0,11982.50606634682,26859.9
30,16,4096,attention,2306.959342956543,40.42,11496.127721383005,41220.1
30,16,4096,ffn,2365.5403594970703,41.44,11496.127721383005,41220.1
30,16,4096,other,1035.3386764526367,18.14,11496.127721383005,41220.1
30,16,4096,total,5707.83837890625,100.0,11496.127721383005,41220.1
